127.0.0.1 - - [22/May/2025:02:44:21 +0530] "GET /cargocpc/index.html HTTP/1.1" 200 119
0:0:0:0:0:0:0:1 - - [22/May/2025:02:48:08 +0530] "GET /cart-management/cart/view HTTP/1.1" 200 2275
0:0:0:0:0:0:0:1 - - [22/May/2025:02:48:24 +0530] "GET /cart-management/cart/view HTTP/1.1" 200 2275
0:0:0:0:0:0:0:1 - - [22/May/2025:02:48:26 +0530] "GET /cart-management/cart/view HTTP/1.1" 200 2275
0:0:0:0:0:0:0:1 - - [22/May/2025:02:48:27 +0530] "GET /cart-management/cart/view HTTP/1.1" 200 2275
0:0:0:0:0:0:0:1 - - [22/May/2025:02:48:27 +0530] "GET /cart-management/cart/view HTTP/1.1" 200 2275
0:0:0:0:0:0:0:1 - - [22/May/2025:02:48:34 +0530] "POST /cart-management/cart HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/May/2025:02:48:34 +0530] "GET /cart-management/cart/view HTTP/1.1" 200 9993
0:0:0:0:0:0:0:1 - - [22/May/2025:02:48:34 +0530] "GET /cart-management/https://images.unsplash.com/photo-1565299624946-b28f40a0ae38?ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D&auto=format&fit=crop&w=1014&q=80 HTTP/1.1" 404 843
0:0:0:0:0:0:0:1 - - [22/May/2025:02:48:58 +0530] "POST /cart-management/cart HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/May/2025:02:48:58 +0530] "GET /cart-management/cart/view HTTP/1.1" 200 10000
0:0:0:0:0:0:0:1 - - [22/May/2025:02:48:58 +0530] "GET /cart-management/https://images.unsplash.com/photo-1565299624946-b28f40a0ae38?ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D&auto=format&fit=crop&w=1014&q=80 HTTP/1.1" 404 843
0:0:0:0:0:0:0:1 - - [22/May/2025:02:49:02 +0530] "POST /cart-management/cart HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/May/2025:02:49:02 +0530] "GET /cart-management/cart/view HTTP/1.1" 200 10000
0:0:0:0:0:0:0:1 - - [22/May/2025:02:49:02 +0530] "GET /cart-management/https://images.unsplash.com/photo-1565299624946-b28f40a0ae38?ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D&auto=format&fit=crop&w=1014&q=80 HTTP/1.1" 404 843
0:0:0:0:0:0:0:1 - - [22/May/2025:02:49:09 +0530] "GET /cart-management/cart/view HTTP/1.1" 200 10000
0:0:0:0:0:0:0:1 - - [22/May/2025:02:49:09 +0530] "GET /cart-management/https://images.unsplash.com/photo-1565299624946-b28f40a0ae38?ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D&auto=format&fit=crop&w=1014&q=80 HTTP/1.1" 404 843
0:0:0:0:0:0:0:1 - - [22/May/2025:02:49:50 +0530] "POST /cart-management/cart HTTP/1.1" 200 10480
0:0:0:0:0:0:0:1 - - [22/May/2025:02:49:50 +0530] "GET /cart-management/https://images.unsplash.com/photo-1565299624946-b28f40a0ae38?ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D&auto=format&fit=crop&w=1014&q=80 HTTP/1.1" 404 843
0:0:0:0:0:0:0:1 - - [22/May/2025:02:49:57 +0530] "GET /cart-management/order/checkout HTTP/1.1" 200 6297
0:0:0:0:0:0:0:1 - - [22/May/2025:02:50:17 +0530] "POST /cart-management/order HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/May/2025:02:50:17 +0530] "GET /cart-management/login.jsp HTTP/1.1" 404 739
0:0:0:0:0:0:0:1 - - [22/May/2025:02:50:54 +0530] "GET /cart-management/cart/view HTTP/1.1" 200 10480
0:0:0:0:0:0:0:1 - - [22/May/2025:02:50:54 +0530] "GET /cart-management/https://images.unsplash.com/photo-1565299624946-b28f40a0ae38?ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D&auto=format&fit=crop&w=1014&q=80 HTTP/1.1" 404 843
